Site,Country,NewestModelBought,Note
themobilehub.com.au,Australia,15 PRO MAX,"price list, newest iPhone 15 pro max"
fixnow.be,Belgium,16E,"price list, newest iPhone 16e"
plazamobiil.ee,Estonia,13,"price list, newest iPhone 13"
swappie.com,FI,11 PRO,"price list, newest iPhone 11 pro"
fonum.fi,Finland,16 PRO,"price list, newest iPhone 16 pro"
destockplus.com,France,14,"price list, newest iPhone 14"
recommerce.com,France,15,"price list, newest iPhone 15"
vendremonmobile.com,France,15,"price list, newest iPhone 15"
jacks-handys.de,Germany,13 MINI,"price list, newest iPhone 13 mini"
mtstronic.de,Germany,15 PRO,"price list, newest iPhone 15 pro"
phoneankauf.de,Germany,15 PRO MAX,"price list, newest iPhone 15 pro max"
trendevice.com,IT,13 PRO,"price list, newest iPhone 13 pro"
iphonehospital.it,Italy,XS,"price list, newest iPhone xs"
prontointerventoapple.it,Italy,X,"price list, newest iPhone x"
riparaora.it,Italy,15 PRO MAX,"price list, newest iPhone 15 pro max"
lmt.lv,Latvia,15 PRO MAX,"price list, newest iPhone 15 pro max"
fixas.lt,Lithuania,16E,"price list, newest iPhone 16e"
webuythings.nl,Netherlands,14,"price list, newest iPhone 14"
skupsmartfonow.pl,PL,15,"price list, newest iPhone 15"
brokendigi.com,Poland,14 PLUS,"price list, newest iPhone 14 plus"
mellem.pl,Poland,X,"price list, newest iPhone x"
mj-komputery.pl,Poland,X,"price list, newest iPhone x"
skupgsm.pl,Poland,12,"price list, newest iPhone 12"
testujsmartfona.pl,Poland,X,"price list, newest iPhone x"
vykupiphone.sk,Slovakia,16E,"price list, newest iPhone 16e"
topyet.com,Spain,15 PRO MAX,"price list, newest iPhone 15 pro max"
envirofone.com,UK,XR,"price list, newest iPhone xr"
bankmycell.com,USA,12 PRO,"price list, newest iPhone 12 pro"
phonepartpro.com,USA,16 PRO MAX,"price list, newest iPhone 16 pro max"
sellbroke.com,USA,15 PRO MAX,"price list, newest iPhone 15 pro max"
