Site,Country,Evidence
achrafellatifi.es,Spain,"20 products, 1 prices visible"
almaadasvetel.hu,HU,"93 products, 0 prices visible"
appleladen.ch,Switzerland,"14 products, 0 prices visible"
appleservis.rs,Serbia,"37 products, 1 prices visible"
arenamobile.rs,Serbia,"20 products, 0 prices visible"
b2bspares.ch,Switzerland,"73 products, 1 prices visible"
bluedigital.hu,HU,"78 products, 0 prices visible"
burp-online.it,Italy,"96 products, 1 prices visible"
carebsrl.it,Italy,"133 products, 1 prices visible"
dakatel.it,Italy,"15 products, 0 prices visible"
dealstore.gr,Greece,"32 products, 0 prices visible"
discoazul.com,Spain,"30 products, 0 prices visible"
doctorphone.ch,Switzerland,"203 products, 0 prices visible"
duosmobil.rs,Serbia,"226 products, 0 prices visible"
ersatzteile-handy-shop.de,Germany,"13 products, 1 prices visible"
express-servis.cz,CZ,"15 products, 0 prices visible"
extremepoint.hu,HU,"22 products, 0 prices visible"
f-mobil.cz,CZ,"41 products, 0 prices visible"
fix-shop.ro,Romania,"91 products, 0 prices visible"
fixmobile.ro,Romania,"27 products, 0 prices visible"
fonfix.ie,Ireland,"8 products, 1 prices visible"
gadgethub.pt,Portugal,"67 products, 0 prices visible"
gsmhit.com,Bulgaria,"42 products, 0 prices visible"
icenter.ee,Estonia,"phrase: ""logi sisse"""
idoktoren.dk,Denmark,"169 products, 0 prices visible"
ihelp.fi,Finland,"238 products, 0 prices visible"
ihero.dk,Denmark,"107 products, 0 prices visible"
ipatch.lv,Latvia,"72 products, 0 prices visible"
iphone-srbija.com,Serbia,"39 products, 1 prices visible"
iphonelab.cz,CZ,"263 products, 0 prices visible"
iphonerepair.dk,Denmark,"189 products, 1 prices visible"
iphonerottomilano.it,Italy,"33 products, 0 prices visible"
ired.gr,Greece,"133 products, 0 prices visible"
iremonts.lv,Latvia,"38 products, 0 prices visible"
irepairitall.at,Austria,"63 products, 0 prices visible"
irepairnow.nl,Netherlands,"19 products, 0 prices visible"
iriparo.com,Italy,"9 products, 0 prices visible"
itapsa.com,Finland,"62 products, 1 prices visible"
itcomplet.sk,SK,"12 products, 0 prices visible"
kaup24.ee,Estonia,"phrase: ""logi sisse"""
magazingsm.ro,Romania,"127 products, 0 prices visible"
mobilego.hu,HU,"92 products, 0 prices visible"
mobilemonsters.ee,Estonia,"phrase: ""logi sisse"""
mobilex.com.pl,Poland,"9 products, 0 prices visible"
mobilyskalka.cz,CZ,"89 products, 0 prices visible"
mobitel.ro,Romania,"130 products, 0 prices visible"
mobitel.rs,Serbia,"25 products, 0 prices visible"
olcsobbat.hu,HU,"9 products, 0 prices visible"
opravsi.sk,SK,"51 products, 0 prices visible"
ounaturg.ee,Estonia,"phrase: ""logi sisse"""
pantallarota.es,Spain,"22 products, 0 prices visible"
pcmadrid.es,Spain,"68 products, 0 prices visible"
phonedepot.ch,Switzerland,"98 products, 0 prices visible"
phoneteile.de,Germany,"11 products, 0 prices visible"
radicalservice.ro,Romania,"86 products, 0 prices visible"
refurbished.eco,Serbia,"209 products, 0 prices visible"
remogsm.ro,Romania,"35 products, 0 prices visible"
repuestosmovil.es,Spain,"28 products, 1 prices visible"
servismobilnihtelefona.com,Serbia,"26 products, 0 prices visible"
showme.hu,HU,"13 products, 0 prices visible"
sintanet.pt,Portugal,"276 products, 1 prices visible"
skymobile.ee,Estonia,"phrase: ""logi sisse"""
smartparts.se,Sweden,"174 products, 1 prices visible"
smartphoneservice.hr,Croatia,"23 products, 0 prices visible"
smeugsm.ro,Romania,"31 products, 0 prices visible"
starcom.ee,Estonia,"phrase: ""logi sisse"""
switchtel.net,Serbia,"87 products, 0 prices visible"
talksky.de,Germany,"11 products, 1 prices visible"
telerepair.dk,Denmark,"117 products, 1 prices visible"
touchtheworld.hu,HU,"13 products, 0 prices visible"
viper.rs,Serbia,"21 products, 0 prices visible"
wigento.de,Germany,"149 products, 0 prices visible"
wiservice.si,Slovenia,"26 products, 1 prices visible"
zavixtech.com,Italy,"42 products, 0 prices visible"
