Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL,CheapestForModelAtShop
24hshop.fr,France,iPhone 11 Pro,original,75.98,EUR,63.32,stripped 20% VAT,no,https://24hshop.fr/ecran-sur-chassis-iphone-11-pro-a2160-soft-oled-apple-original-super-retina-58-pouces-vitre-smartphone-true-tone-complet-2774.html,YES
24hshop.fr,France,iPhone 11 Pro,original,75.98,EUR,63.32,stripped 20% VAT,no,https://24hshop.fr/vitre-tactile-multi-touch-soft-oled-iphone-11-pro-apple-a2215-original-touch-remplacement-ecran-verre-sur-chassis-complet-assemb-2785.html,no
24hshop.fr,France,iPhone 11 Pro Max,original,75.98,EUR,63.32,stripped 20% VAT,no,https://24hshop.fr/ecran-verre-multi-touch-soft-oled-apple-iphone-11-pro-max-a2218-original-smartphone-3d-touch-remplacement-kit-assemble-chassis-2840.html,YES
24hshop.fr,France,iPhone XS,original,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/ecran-tactile-iphone-xs-verre-multi-touch-soft-oled-apple-original-3d-touch-remplacement-hdr-qualite-vitre-oleophobe-sur-chassis-2666.html,YES
24hshop.fr,France,iPhone XS,original,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/iphone-xs-a2099-ecran-soft-oled-apple-original-super-retina-58-pouces-vitre-smartphone-assemblee-affichage-complet-true-tone-2728.html,no
24hshop.fr,France,iPhone XS,original,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/vitre-tactile-ecran-sur-chassis-complet-assemble-iphone-xs-verre-multi-touch-soft-oled-apple-original-3d-touch-kit-remplacement-2669.html,no
24hshop.fr,France,iPhone XS,original,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/vitre-tactile-multi-touch-soft-oled-iphone-xs-apple-a2098-original-touch-remplacement-ecran-verre-sur-chassis-complet-assemble-2710.html,no
24hshop.fr,France,iPhone XS,original,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/verre-tactile-iphone-xs-soft-oled-qualite-ecran-a2097-original-reparation-smartphone-affichage-true-tone-hd-super-retina-58-in-2688.html,no
24hshop.fr,France,iPhone XS Max,original,65.98,EUR,54.98,stripped 20% VAT,no,https://24hshop.fr/ecran-soft-oled-verre-multi-touch-apple-iphone-xs-max-a2104-original-smartphone-3d-touch-remplacement-hdr-oleophobe-2961.html,YES
24hshop.fr,France,iPhone XS Max,original,65.98,EUR,54.98,stripped 20% VAT,no,https://24hshop.fr/vitre-tactile-ecran-soft-oled-iphone-xs-max-a2103-apple-original-super-retina-65-pouces-smartphone-affichage-true-tone-2956.html,no
24hshop.fr,France,iphone 11,original,75.98,EUR,63.32,stripped 20% VAT,no,https://24hshop.fr/ecran-sur-chassis-iphone-11-pro-a2160-soft-oled-apple-original-super-retina-58-pouces-vitre-smartphone-true-tone-complet-2774.html,YES
24hshop.fr,France,iphone 11,original,75.98,EUR,63.32,stripped 20% VAT,no,https://24hshop.fr/soft-oled-apple-ecran-complet-iphone-11-pro-a2215-original-super-retina-58-pouces-vitre-smartphone-affichage-true-tone-kit-asse-2790.html,no
24hshop.fr,France,iphone xs,original,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/iphone-xs-a1920-ecran-soft-oled-apple-original-super-retina-58-pouces-vitre-smartphone-assemblee-affichage-complet-true-tone-2683.html,YES
24hshop.fr,France,iphone xs,original,65.98,EUR,54.98,stripped 20% VAT,no,https://24hshop.fr/ecran-soft-oled-apple-iphone-a1921-xs-max-original-super-retina-65-pouces-vitre-smartphone-affichage-true-tone-3d-hd-2894.html,no
