Site,Country,Model,RepairType,Price,Currency,ExclVAT,Login,URL
ab-mobiteli.com,Croatia,iPhone 14 Plus,original,250,EUR,200.0,no,https://ab-mobiteli.com/products/lcd-original-apple-iphone-14-plus
ab-mobiteli.com,Croatia,iPhone 14 Pro,original,380,EUR,304.0,no,https://ab-mobiteli.com/products/lcd-original-apple-iphone-14-pro-skidan
ab-mobiteli.com,Croatia,iPhone X,original,120,EUR,96.0,no,https://ab-mobiteli.com/products/apple-iphone-x-lcd-touch-repariran-original
ab-mobiteli.com,Croatia,iPhone XR,original,110,EUR,88.0,no,https://ab-mobiteli.com/products/apple-iphone-xr-lcd-touch-skinuti-original
amdetech.gr,Greece,iPhone 14 Plus,pulled,159.97,EUR,129.01,no,https://www.amdetech.gr/apple-antallaktika/iphone-antallaktika-el/pulled-gnisio-antallaktiko-gia-iphone-14-plus-oled-othoni-and-afis-touch-screen-digitizer-antallaktiko-kainoyrgio/
appleparts.nl,Netherlands,iPhone 14 Plus,pulled,199,EUR,164.46,no,https://appleparts.nl/products/iphone-14-plus-scherm-origineel-pulled?_pos=9&_sid=433506182&_ss=r
appleparts.nl,Netherlands,iPhone 14 Pro Max,pulled,239,EUR,197.52,no,https://appleparts.nl/products/beeldscherm-iphone-14-pro-max-origineel-pulled?_pos=2&_sid=433506182&_ss=r
appleparts.nl,Netherlands,iPhone 15,pulled,175,EUR,144.63,no,https://appleparts.nl/products/beeldscherm-voor-iphone-15-origineel-pulled?_pos=3&_sid=433506182&_ss=r
appleparts.nl,Netherlands,iPhone 15 Pro,pulled,319,EUR,263.64,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-15-pro-origineel-pulled-a-grade-met-lichtsensor-flex?_pos=7&_sid=433506182&_ss=r
appleparts.nl,Netherlands,iPhone 16,pulled,198,EUR,163.64,no,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-16-origineel-pulled?_pos=5&_sid=433506182&_ss=r
capitalmovil.com.mx,Mexico,iphone 11,original,220.0,MXN,220.0,no,https://www.capitalmovil.com.mx/collections/pantallas
el-telgsm.pl,Poland,iPhone 11,original,234.989901,PLN,191.05,no,https://el-telgsm.pl/wyswietlacze-iphone/24403-wyswietlacz-lcd-iphone-11-6-1-service-pack-czarny.html
el-telgsm.pl,Poland,iPhone 12 / 12 Pro,original,338.999931,PLN,275.61,no,https://el-telgsm.pl/wyswietlacze-iphone/34449-wyswietlacz-lcd-iphone-12---12-pro-6-1-service-pack-czarny.html
fonix.at,Austria,iPhone 14 Pro,pulled,139.9,EUR,116.58,YES,https://fonix.at/products/lcd-display-fuer-iphone-14-pro-neu-pulled-ori-qualitaet?_pos=5&_sid=3e7624f42&_ss=r
fonix.at,Austria,iPhone 15,refurb,149.9,EUR,124.92,YES,https://fonix.at/products/lcd-display-fuer-iphone-15-refurbished-ori-qualitaet?_pos=3&_sid=3e7624f42&_ss=r
fonix.at,Austria,iPhone 15 Pro,pulled,255.9,EUR,213.25,YES,https://fonix.at/products/iphone-15-pro-lcd-display-original-pulled-premium?_pos=2&_sid=3e7624f42&_ss=r
fonix.at,Austria,iPhone XS Max,refurb,44.9,EUR,37.42,YES,https://fonix.at/products/iphone-xs-max-lcd-display-refurbished-schwarz?_pos=4&_sid=3e7624f42&_ss=r
geekon.gr,Greece,iPhone 14 Pro Max,original,399,EUR,321.77,no,https://www.geekon.gr/gnisia-othoni-me-michanismo-afis-lcd-with-touch-screen-gia-iphone-14-pro-max-mavro-service-pack-can-calibrate-on-ios18-1
gsmok.com,Poland,iphone 11,glass-changed,27.49,PLN,22.35,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 11 pro,glass-changed,60.31,PLN,49.03,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 11 pro max,glass-changed,75.8,PLN,61.63,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 12,glass-changed,61.43,PLN,49.94,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 12 mini,glass-changed,67.63,PLN,54.98,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 13,original,62.79,PLN,51.05,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 13 pro,glass-changed,95.12,PLN,77.33,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 13 pro max,glass-changed,118.48,PLN,96.33,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 14,glass-changed,84.53,PLN,68.72,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 14 plus,glass-changed,113.22,PLN,92.05,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 14 pro max,glass-changed,167.2,PLN,135.93,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 15 plus,glass-changed,135.6,PLN,110.24,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 15 pro,glass-changed,229.07,PLN,186.24,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 15 pro max,glass-changed,260.65,PLN,211.91,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 16,glass-changed,189.56,PLN,154.11,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 16 plus,glass-changed,131.39,PLN,106.82,no,https://gsmok.com/en/lcd-iphone-c095
gsmok.com,Poland,iphone 16 pro,glass-changed,193.52,PLN,157.33,no,https://gsmok.com/en/lcd-iphone-c095
handyschmiede.de,Germany,iPhone 15 Pro,pulled,806.53,EUR,677.76,no,https://handyschmiede.de/products/iphone-15-pro-pulled-displayeinheit-schwarz-programmierbar
horepa.fr,France,iPhone 15,refurb,139.896001,EUR,116.58,no,https://horepa.fr/fr/ecran-iphone-15-oem-refurb.html
icell4less.com,Norway,iPhone X,glass-changed,54,USD,43.2,no,https://icell4less.com/products/apple-iphone-x-lcd-replacement-tft-glass-display-screen-replacement-kit-tools?_pos=1&_sid=285167960&_ss=r
impextrom.com,Spain,iphone 15,original,20.28,EUR,16.76,no,https://www.impextrom.com/es/repuestos-iphone-15-a3090-f11232
ioutlet.ee,Estonia,iphone 11 pro,refurb,12.36,EUR,10.13,YES,https://ioutlet.ee/shop/
ioutlet.ee,Estonia,iphone x,refurb,7.4,EUR,6.07,YES,https://ioutlet.ee/shop/
ioutlet.ee,Estonia,iphone xs,refurb,7.9,EUR,6.48,YES,https://ioutlet.ee/shop/
ioutlet.ee,Estonia,iphone xs max,refurb,9.86,EUR,8.08,YES,https://ioutlet.ee/shop/
mdparts.com.au,Australia,iphone 15 pro max,refurb,253.0,AUD,253.0,no,https://mdparts.com.au/products/iphone-15-pro-max-refurbished-screen-assembly
mobiiliabi.ee,Estonia,iPhone 15 Pro Max,original,288.99,EUR,236.88,no,https://mobiiliabi.ee/toode/lcd-screen-for-iphone-15-pro-max-with-touch-screen-original-pairable-used-grade-a/
mobilefix.cz,Czechia,iPhone 16,original,8499,CZK,7023.97,YES,https://www.mobilefix.cz/oled-displej-service-pack-iphone-16-2/
mobilesentrix.eu,Germany,iphone 11,refurb,16.56,EUR,13.92,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 11 pro,refurb,41.79,EUR,35.12,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 11 pro max,refurb,53.63,EUR,45.07,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 12,refurb,37.75,EUR,31.72,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 12 mini,refurb,44.5,EUR,37.39,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 12 pro,original,218.77,EUR,183.84,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 12 pro max,refurb,87.51,EUR,73.54,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 13,refurb,43.27,EUR,36.36,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 13 mini,refurb,81.36,EUR,68.37,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 13 pro,refurb,62.9,EUR,52.86,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 13 pro max,refurb,77.42,EUR,65.06,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 14,refurb,47.14,EUR,39.61,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 14 plus,refurb,80.69,EUR,67.81,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 14 pro,refurb,91.01,EUR,76.48,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 14 pro max,refurb,107.66,EUR,90.47,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 15,refurb,81.5,EUR,68.49,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 15 plus,refurb,90.78,EUR,76.29,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 15 pro,refurb,144.9,EUR,121.76,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 15 pro max,refurb,144.93,EUR,121.79,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 16,refurb,106.52,EUR,89.51,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 16 plus,refurb,82.85,EUR,69.62,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 16 pro,refurb,130.08,EUR,109.31,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 16 pro max,refurb,192.0,EUR,161.34,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone 16e,original,110.19,EUR,92.6,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone x,refurb,33.63,EUR,28.26,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone xr,refurb,12.9,EUR,10.84,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone xs,refurb,35.21,EUR,29.59,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobilesentrix.eu,Germany,iphone xs max,refurb,43.0,EUR,36.13,no,https://www.mobilesentrix.eu/replacement-parts/apple/iphone-parts/all-iphone-lcds
mobiservis.lt,Lithuania,iphone 11,refurb,33.4,EUR,27.6,no,https://mobiservis.lt/mobiliuju-telefonu-dalys/lcd-ekranai-lieciamieji-ekranai
mobishop.ee,Estonia,iPhone 16,original,288.75,EUR,236.68,YES,https://mobishop.ee/toode/display-original-apple-iphone-16-661-44797-varuosa/
mobishop.ee,Estonia,iPhone 16 Pro Max,original,393.25,EUR,322.34,YES,https://mobishop.ee/toode/display-original-apple-iphone-16-pro-max-661-44955-varuosa/
mobishop.ee,Estonia,iphone 13,original,20.82,EUR,17.07,YES,https://mobishop.ee/kategooria/varuosad/apple-varuosad/iphone-13-seeria-varuosad/iphone-13-varuosad/
parts4repair.de,Germany,iPhone XS Max,refurb,249.99,EUR,210.08,no,https://parts4repair.de/iphone-xs-max-display-refurbished
partsfixit.com,USA,iphone 16,pulled,178.0,USD,178.0,no,https://www.partsfixit.com/apple-spare-parts/iphone-repair-parts
phonexperts.ng,Nigeria,iphone 13,glass-changed,2300.0,NGN,2300.0,no,https://phonexperts.ng/product/2-pcs-rear-camera-glass-lens-metal-outside-protector-hoop-ring-for-iphone-13blue/
repairpartsusa.com,Austria,iPhone 11,glass-changed,15.19,USD,12.66,no,https://repairpartsusa.com/products/iphone-11-grade-a-incell-lcd-and-digitizer-glass-screen-replacement-with-back-plate
