Site,Country,Model,RepairType,Price,Currency,ExclVAT,VATBasis,Login,URL
24hshop.fr,France,iPhone 11,aftermarket-incell,29.5,EUR,24.58,stripped 20% VAT,no,https://24hshop.fr/verre-multi-touch-incell-iphone-11-a2111-apple-lcd-premium-smartphone-touch-remplacement-ecran-cristaux-liquides-itrucolor-2416.html
24hshop.fr,France,iPhone 11 Pro,aftermarket-oled,75.98,EUR,63.32,stripped 20% VAT,no,https://24hshop.fr/ecran-sur-chassis-iphone-11-pro-a2160-soft-oled-apple-original-super-retina-58-pouces-vitre-smartphone-true-tone-complet-2774.html
24hshop.fr,France,iPhone 11 Pro,aftermarket-oled,75.98,EUR,63.32,stripped 20% VAT,no,https://24hshop.fr/vitre-tactile-multi-touch-soft-oled-iphone-11-pro-apple-a2215-original-touch-remplacement-ecran-verre-sur-chassis-complet-assemb-2785.html
24hshop.fr,France,iPhone 11 Pro Max,aftermarket-oled,75.98,EUR,63.32,stripped 20% VAT,no,https://24hshop.fr/ecran-verre-multi-touch-soft-oled-apple-iphone-11-pro-max-a2218-original-smartphone-3d-touch-remplacement-kit-assemble-chassis-2840.html
24hshop.fr,France,iPhone XR,aftermarket-incell,68.98,EUR,57.48,stripped 20% VAT,no,https://24hshop.fr/ecran-lcd-sur-chassis-iphone-xr-incell-apple-premium-super-retina-61-in-vitre-smartphone-affichage-true-tone-cristaux-liquides-2454.html
24hshop.fr,France,iPhone XR,aftermarket-incell,68.98,EUR,57.48,stripped 20% VAT,no,https://24hshop.fr/lcd-iphone-xr-a1984-ecran-incell-apple-premium-super-retina-61-pouces-vitre-smartphone-affichage-true-tone-cristaux-liquides-2381.html
24hshop.fr,France,iPhone XS,aftermarket-oled,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/verre-tactile-iphone-xs-soft-oled-qualite-ecran-a2097-original-reparation-smartphone-affichage-true-tone-hd-super-retina-58-in-2688.html
24hshop.fr,France,iPhone XS,aftermarket-oled,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/iphone-xs-a2099-ecran-soft-oled-apple-original-super-retina-58-pouces-vitre-smartphone-assemblee-affichage-complet-true-tone-2728.html
24hshop.fr,France,iPhone XS,aftermarket-oled,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/ecran-tactile-iphone-xs-verre-multi-touch-soft-oled-apple-original-3d-touch-remplacement-hdr-qualite-vitre-oleophobe-sur-chassis-2666.html
24hshop.fr,France,iPhone XS,aftermarket-oled,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/vitre-tactile-ecran-sur-chassis-complet-assemble-iphone-xs-verre-multi-touch-soft-oled-apple-original-3d-touch-kit-remplacement-2669.html
24hshop.fr,France,iPhone XS,aftermarket-oled,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/super-retina-58-pouces-apple-a2098-iphone-xs-soft-oled-vitre-original-smartphone-affichage-true-tone-changer-ecran-lg-oleophobe-2707.html
24hshop.fr,France,iPhone XS,aftermarket-incell,29.5,EUR,24.58,stripped 20% VAT,no,https://24hshop.fr/ecran-lcd-sur-chassis-verre-multi-touch-incell-apple-iphone-xs-premium-smartphone-3d-touch-remplacement-cristaux-liquides-hdr-2474.html
24hshop.fr,France,iPhone XS,aftermarket-oled,55.98,EUR,46.65,stripped 20% VAT,no,https://24hshop.fr/vitre-tactile-multi-touch-soft-oled-iphone-xs-apple-a2098-original-touch-remplacement-ecran-verre-sur-chassis-complet-assemble-2710.html
24hshop.fr,France,iPhone XS Max,aftermarket-incell,39.5,EUR,32.92,stripped 20% VAT,no,https://24hshop.fr/super-retina-65-pouces-apple-iphone-xs-max-in-cell-vitre-premium-smartphone-affichage-true-tone-changer-ecran-lcd-lg-hdr-oleoph-2510.html
24hshop.fr,France,iPhone XS Max,aftermarket-oled,65.98,EUR,54.98,stripped 20% VAT,no,https://24hshop.fr/ecran-soft-oled-verre-multi-touch-apple-iphone-xs-max-a2104-original-smartphone-3d-touch-remplacement-hdr-oleophobe-2961.html
24hshop.fr,France,iPhone XS Max,aftermarket-oled,65.98,EUR,54.98,stripped 20% VAT,no,https://24hshop.fr/vitre-tactile-ecran-soft-oled-iphone-xs-max-a2103-apple-original-super-retina-65-pouces-smartphone-affichage-true-tone-2956.html
4repair.pl,Poland,iPhone 14 Plus,aftermarket-soft-oled,449.4,PLN,365.37,stripped 23% VAT,no,https://4repair.pl/zamiennik-jcid-wyswietlacz-soft-oled-apple-iphone-14-plus-programowalny-true-tone-bez-komunikatu-p-1797.html
4repair.pl,Poland,iPhone 14 Plus,aftermarket-soft-oled,490.35,PLN,398.66,stripped 23% VAT,no,https://4repair.pl/zamiennik-ncc-wyswietlacz-soft-oled-apple-iphone-14-plus-p-1790.html
4repair.pl,Poland,iPhone 14 Pro,aftermarket-soft-oled,640.49,PLN,520.72,stripped 23% VAT,no,https://4repair.pl/zamiennik-apl-wyswietlacz-soft-oled-apple-iphone-14-pro-run-diagnostic-original-size-bez-komunikatu-p-2972.html
4repair.pl,Poland,iPhone 16,aftermarket-soft-oled,682.49,PLN,554.87,stripped 23% VAT,no,https://4repair.pl/zamiennik-apl-wyswietlacz-soft-oled-apple-iphone-16-run-diagnostic-original-size-bez-komunikatu-p-2969.html
a-parts.com.pl,Poland,iPhone 13 Pro,aftermarket-incell,128.26,PLN,104.28,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-13-pro,3,32499,43472"
a-parts.com.pl,Poland,iPhone 13 Pro,aftermarket-oled,282.53,PLN,229.7,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-dd-iphone-13-pro,3,32499,43364"
a-parts.com.pl,Poland,iPhone 13 Pro,aftermarket-incell,128.26,PLN,104.28,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-13-pro,3,32499,43472"
a-parts.com.pl,Poland,iPhone 13 Pro,aftermarket-oled,282.53,PLN,229.7,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-dd-iphone-13-pro,3,32499,43364"
a-parts.com.pl,Poland,iPhone 13 Pro Max,aftermarket-incell,125.71,PLN,102.2,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-13-pro-inc,3,32499,40866"
a-parts.com.pl,Poland,iPhone 13 Pro Max,aftermarket-oled,272.32,PLN,221.4,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-13-pro,3,32499,40879"
a-parts.com.pl,Poland,iPhone 13 Pro Max,aftermarket-oled,240.45,PLN,195.49,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-13-pro-max,3,32499,39799"
a-parts.com.pl,Poland,iPhone 13 Pro Max,aftermarket-incell,125.71,PLN,102.2,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-13-pro-inc,3,32499,40866"
a-parts.com.pl,Poland,iPhone 13 Pro Max,aftermarket-oled,272.32,PLN,221.4,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-13-pro,3,32499,40879"
a-parts.com.pl,Poland,iPhone 13 Pro Max,aftermarket-oled,240.45,PLN,195.49,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-13-pro-max,3,32499,39799"
a-parts.com.pl,Poland,iPhone 14 Pro,aftermarket-incell,137.18,PLN,111.53,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-14-pro,3,32499,43465"
a-parts.com.pl,Poland,iPhone 14 Pro,aftermarket-incell,119.33,PLN,97.02,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-14-pro-inc,3,32499,40869"
a-parts.com.pl,Poland,iPhone 14 Pro,aftermarket-incell,112.96,PLN,91.84,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-14-pro,3,32499,43466"
a-parts.com.pl,Poland,iPhone 14 Pro,aftermarket-incell,137.18,PLN,111.53,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-14-pro,3,32499,43465"
a-parts.com.pl,Poland,iPhone 14 Pro,aftermarket-incell,119.33,PLN,97.02,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-14-pro-inc,3,32499,40869"
a-parts.com.pl,Poland,iPhone 14 Pro,aftermarket-incell,112.96,PLN,91.84,stripped 23% VAT,no,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-14-pro,3,32499,43466"
ab-mobiteli.com,Croatia,iPhone 15 Pro,aftermarket-lcd,399,EUR,399,VAT basis UNKNOWN — shown as listed,no,https://ab-mobiteli.com/products/lcd-touch-okvir-apple-iphone-15-pro
ab-mobiteli.com,Croatia,iPhone 16 Pro Max,aftermarket-lcd,590,EUR,590,VAT basis UNKNOWN — shown as listed,no,https://ab-mobiteli.com/products/lcd-touchscreen-orig-apple-iphone-16-pro-max
ab-mobiteli.com,Croatia,iPhone XS,aftermarket-oled,120,EUR,120,VAT basis UNKNOWN — shown as listed,no,https://ab-mobiteli.com/products/lcd-touch-apple-iphone-xs-oled-nov
