Site,Country,Type,LoginRequired,ProductsScraped
shop.rewa.tech,,shop,YES,0
gjirafa50.al,Albania,shop,no,5
mdparts.com.au,Australia,shop,no,11
abraa.com,Austria,shop,YES,2
fonix.at,Austria,shop,YES,7
mobilestar.at,Austria,shop,no,4
repairpartsusa.com,Austria,shop,no,74
alphamobile.eu,Bulgaria,shop,no,6
cellphonepartscanada.com,Bulgaria,shop,no,1
gsmparts.bg,Bulgaria,shop,no,6
isn-parts.com,Bulgaria,shop,no,8
mobifixbg.com,Bulgaria,shop,no,6
phonepartsbg.com,Bulgaria,shop,YES,8
lcdtechinc.com,Canada,buyback,no,49
mobilesentrix.ca,Canada,buyback,no,68
etradesupply.com,China,shop,no,1
iphonescreenwholesale.com,China,shop,no,15
irepart.com,China,shop,no,30
lltrader.com,China,shop,no,20
teevo.com,China,shop,no,48
ab-mobiteli.com,Croatia,shop,no,7
yodoit.com,Croatia,shop,no,8
parts4cells.com,Cyprus,shop,no,1
cellparts.cz,Czechia,shop,YES,2
iswap.cz,Czechia,shop,YES,3
lemes.cz,Czechia,shop,YES,2
mobilefix.cz,Czechia,shop,YES,1
mobilnidily.cz,Czechia,shop,YES,2
phonepartsrus.com,Czechia,shop,no,7
ptmobil.cz,Czechia,shop,YES,1
servisnidily.cz,Czechia,shop,YES,2
vsekmobilu.cz,Czechia,shop,YES,1
bokmanev.com,Denmark,shop,no,7
ipfix.dk,Denmark,shop,YES,5
nordviks.se,Denmark,shop,YES,2
sparepart.dk,Denmark,shop,YES,13
telegiganten.dk,Denmark,shop,YES,0
ioutlet.ee,Estonia,shop,YES,31
mobiiliabi.ee,Estonia,shop,no,19
mobishop.ee,Estonia,shop,YES,32
smartech.ee,Estonia,shop,no,3
ieasyservice.fi,Finland,shop,no,8
phonefix.fi,Finland,shop,no,5
24hshop.fr,France,shop,no,16
da-pieces.com,France,shop,no,8
fhrparts.com,France,shop,no,33
horepa.fr,France,shop,no,6
ilevante.fr,France,shop,no,8
jensmobiles.fr,France,shop,YES,0
lcd-phone.com,France,shop,no,7
mypart.fr,France,shop,YES,0
parts4phone.com,France,shop,YES,1
piecegsm.com,France,shop,no,8
reflexmagasin.com,France,shop,no,1
reparation-iphone.com,France,shop,no,5
storephone.fr,France,shop,YES,0
utopya.com,France,shop,no,31
utopya.fr,France,shop,YES,0
world-itech.com,France,shop,no,8
cdx.de,Germany,shop,YES,0
gbishop.de,Germany,shop,no,1
handyschmiede.de,Germany,shop,no,8
iphoneersatzteileshop.de,Germany,shop,no,1
mobilesentrix.eu,Germany,shop,no,163
parts4repair.de,Germany,shop,no,2
phf-shop.com,Germany,shop,no,2
phone-werk.de,Germany,shop,no,2
shop.kaputt.de,Germany,shop,YES,0
touchandscreen.de,Germany,shop,YES,2
amdetech.gr,Greece,shop,no,7
geekon.gr,Greece,shop,no,1
gsmteam.gr,Greece,shop,YES,3
modchip.gr,Greece,shop,YES,5
movil.gr,Greece,shop,YES,4
net-one.gr,Greece,shop,no,5
nvs.gr,Greece,shop,no,3
xda.gr,Greece,shop,no,5
fixstore.hu,Hungary,shop,YES,8
lemes.hu,Hungary,shop,YES,1
akmobilestore.com,Ireland,shop,YES,8
compuparts.ie,Ireland,shop,no,8
firsthelptech.ie,Ireland,shop,no,4
iparts-4u.eu,Ireland,shop,no,21
ishine.ie,Ireland,shop,no,15
screenshelf.ie,Ireland,shop,no,8
brotech.it,Italy,shop,no,2
componentidigitali.com,Italy,shop,no,16
digitalteck.it,Italy,shop,no,4
ingrosmart.it,Italy,shop,YES,0
italiatech.it,Italy,shop,no,8
miwo.it,Italy,shop,YES,0
onstoreitalia.it,Italy,shop,no,8
outletaccessori.it,Italy,shop,no,7
riparafast.it,Italy,shop,no,8
startdistribuzione.it,Italy,shop,no,6
gjirafa50.com,Kosovo,shop,no,4
deltamobile.lv,Latvia,shop,no,23
mobilemonsters.lv,Latvia,shop,no,19
mobpartstore.lv,Latvia,shop,no,103
dargilita.lt,Lithuania,shop,no,102
gsmdalys.lt,Lithuania,shop,no,17
marsietis.lt,Lithuania,shop,no,4
mobiservis.lt,Lithuania,shop,no,23
mobizona.lt,Lithuania,shop,no,3
setup.lt,Lithuania,shop,no,3
signalocentras.lt,Lithuania,shop,no,33
telefonubaterijos.lt,Lithuania,shop,no,11
telesfera.lt,Lithuania,shop,no,8
phonexpert78.com,Luxembourg,shop,no,3
capitalmovil.com.mx,Mexico,shop,no,3
appleparts.nl,Netherlands,shop,no,16
borcaden.nl,Netherlands,shop,YES,2
dutchrepair.nl,Netherlands,shop,no,12
dutchspares.com,Netherlands,shop,YES,0
foneday.shop,Netherlands,shop,YES,0
hallomobile.nl,Netherlands,shop,no,8
koopjeonderdelen.nl,Netherlands,shop,no,8
mobilesupplies.nl,Netherlands,shop,no,1
partexpert.nl,Netherlands,shop,no,7
phonexperts.ng,Nigeria,shop,no,3
icell4less.com,Norway,shop,no,7
spares.no,Norway,shop,YES,7
4repair.pl,Poland,shop,no,4
a-parts.com.pl,Poland,shop,no,16
el-telgsm.pl,Poland,shop,no,11
euromarserwis.pl,Poland,shop,no,2
gsmok.com,Poland,shop,no,191
componentesmovil.es,Spain,shop,no,3
ilevante.com,Spain,shop,no,12
impextrom.com,Spain,shop,no,15
preciosadictos.com,Spain,shop,no,27
repuestosfuentes.es,Spain,shop,no,84
repuestostic.com,Spain,shop,no,44
spainsellers.com,Spain,shop,no,5
iparts-4u.co.uk,UK,shop,YES,27
ishine-trade.com,UK,shop,no,8
mobiodistribution.co.uk,UK,shop,YES,0
screen-doctor.co.uk,UK,buyback,no,14
therepairplus.com,UK,shop,no,17
thescreensurgery.com,UK,shop,no,15
twhouse.co.uk,UK,shop,no,52
webuylcds.co.uk,UK,buyback,no,8
bukuwireless.com,USA,shop,no,54
cash4lcds.com,USA,buyback,no,76
hlcwholesale.com,USA,shop,YES,0
ifixit.com,USA,shop,no,23
lcdbuybackprogram.com,USA,buyback,no,74
mobilesentrix.com,USA,buyback,no,63
partsfixit.com,USA,shop,no,19
phonelcdparts.com,USA,shop,no,16
phonepartpro.com,USA,buyback,no,23
screen-stocks.com,USA,shop,no,5
