Region,Competitors,Prices,ShopPrices,BuybackPrices,SitesWithPrices,LoginGated
Germany,153,638,523,115,30,19
Italy,120,701,606,95,29,25
USA,106,562,336,226,24,5
France,94,512,353,159,29,11
Poland,93,723,666,57,31,4
UK,75,488,466,22,18,6
Spain,74,391,385,6,17,12
Czechia,73,79,79,0,11,30
Netherlands,66,257,256,1,16,16
Hungary,49,4,4,0,1,28
Lithuania,46,479,460,19,24,1
Romania,46,298,298,0,13,28
Bulgaria,46,172,172,0,9,10
Slovakia,43,218,160,58,18,5
Greece,43,176,175,1,19,8
Estonia,41,558,524,34,18,10
Sweden,40,205,205,0,12,7
Latvia,38,552,537,15,13,2
Belgium,36,35,16,19,3,6
Portugal,36,45,45,0,10,3
Canada,30,230,113,117,7,0
Ireland,27,243,237,6,12,4
Denmark,26,231,204,27,10,8
Australia,23,272,144,128,6,0
Finland,19,268,231,37,11,4
Switzerland,19,41,41,0,4,10
China,18,201,201,0,6,6
Serbia,16,4,4,0,2,9
Norway,16,73,73,0,5,3
Sri Lanka,16,0,0,0,0,0
US,16,0,0,0,0,0
Slovenia,15,12,12,0,2,1
Pakistan,14,0,0,0,0,0
New Zealand,14,28,28,0,2,2
Austria,13,62,62,0,5,3
Croatia,12,52,52,0,6,1
Turkey,11,0,0,0,0,0
Bangladesh,11,1,1,0,1,1
UAE,9,0,0,0,0,1
India,9,0,0,0,0,0
Brazil,8,0,0,0,0,0
Mexico,7,35,35,0,1,0
South Africa,6,0,0,0,0,0
Israel,5,0,0,0,0,1
Ukraine,4,0,0,0,0,0
Vietnam,3,0,0,0,0,0
Russia,2,0,0,0,0,0
Argentina,2,0,0,0,0,0
Saudi Arabia,2,0,0,0,0,0
Hong Kong,2,0,0,0,0,2
EU,1,4,4,0,1,0
Kosovo,1,14,14,0,1,0
Albania,1,14,14,0,1,0
Malaysia,1,0,0,0,0,1
Peru,1,0,0,0,0,0
Kenya,1,0,0,0,0,0
CA,1,0,0,0,0,0
Philippines,1,0,0,0,0,0
EU-wide,1,0,0,0,0,0
GB,1,0,0,0,0,1
Nigeria,1,3,3,0,1,1
Luxembourg,1,5,5,0,1,0
CN,1,0,0,0,0,0
placeholder,1,0,0,0,0,0
Cyprus,0,1,1,0,1,0
