Site,Country,Type,Model,Category,List,Login,Price,Currency,URL
a-parts.com.pl,Poland,shop,iPhone 13 Pro,aftermarket-incell,aftermarket,no,128.26,PLN,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-13-pro,3,32499,43472"
24hshop.fr,France,shop,iPhone XS Max,aftermarket-incell,aftermarket,no,39.5,EUR,https://24hshop.fr/super-retina-65-pouces-apple-iphone-xs-max-in-cell-vitre-premium-smartphone-affichage-true-tone-changer-ecran-lcd-lg-hdr-oleoph-2510.html
4repair.pl,Poland,shop,iPhone 16,aftermarket-soft-oled,aftermarket,no,682.49,PLN,https://4repair.pl/zamiennik-apl-wyswietlacz-soft-oled-apple-iphone-16-run-diagnostic-original-size-bez-komunikatu-p-2969.html
24hshop.fr,France,shop,iPhone XS,original,A,no,55.98,EUR,https://24hshop.fr/ecran-tactile-iphone-xs-verre-multi-touch-soft-oled-apple-original-3d-touch-remplacement-hdr-qualite-vitre-oleophobe-sur-chassis-2666.html
24hshop.fr,France,shop,iPhone XS Max,original,A,no,65.98,EUR,https://24hshop.fr/vitre-tactile-ecran-soft-oled-iphone-xs-max-a2103-apple-original-super-retina-65-pouces-smartphone-affichage-true-tone-2956.html
24hshop.fr,France,shop,iPhone XS Max,original,A,no,65.98,EUR,https://24hshop.fr/ecran-soft-oled-verre-multi-touch-apple-iphone-xs-max-a2104-original-smartphone-3d-touch-remplacement-hdr-oleophobe-2961.html
4repair.pl,Poland,shop,iPhone 14 Pro,aftermarket-soft-oled,aftermarket,no,640.49,PLN,https://4repair.pl/zamiennik-apl-wyswietlacz-soft-oled-apple-iphone-14-pro-run-diagnostic-original-size-bez-komunikatu-p-2972.html
24hshop.fr,France,shop,iPhone 11,aftermarket-incell,aftermarket,no,29.5,EUR,https://24hshop.fr/verre-multi-touch-incell-iphone-11-a2111-apple-lcd-premium-smartphone-touch-remplacement-ecran-cristaux-liquides-itrucolor-2416.html
a-parts.com.pl,Poland,shop,iPhone 13 Pro,aftermarket-oled,aftermarket,no,282.53,PLN,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-dd-iphone-13-pro,3,32499,43364"
a-parts.com.pl,Poland,shop,iPhone 13 Pro Max,aftermarket-incell,aftermarket,no,125.71,PLN,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-13-pro-inc,3,32499,40866"
24hshop.fr,France,shop,iPhone XS,original,A,no,55.98,EUR,https://24hshop.fr/iphone-xs-a2099-ecran-soft-oled-apple-original-super-retina-58-pouces-vitre-smartphone-assemblee-affichage-complet-true-tone-2728.html
a-parts.com.pl,Poland,shop,iPhone 13 Pro Max,aftermarket-oled,aftermarket,no,272.32,PLN,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-13-pro,3,32499,40879"
a-parts.com.pl,Poland,shop,iPhone 14 Pro,aftermarket-incell,aftermarket,no,137.18,PLN,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-do-iphone-14-pro,3,32499,43465"
4repair.pl,Poland,shop,iPhone 14 Plus,aftermarket-soft-oled,aftermarket,no,490.35,PLN,https://4repair.pl/zamiennik-ncc-wyswietlacz-soft-oled-apple-iphone-14-plus-p-1790.html
a-parts.com.pl,Poland,shop,iPhone 14 Pro,aftermarket-incell,aftermarket,no,119.33,PLN,"https://www.a-parts.com.pl/produkty/wyswietlacz-lcd-ekran-dotykowy-iphone-14-pro-inc,3,32499,40869"
dargilita.lt,Lithuania,shop,iphone 13,aftermarket-incell,aftermarket,no,44.9,EUR,https://dargilita.lt/apple-iphone-telefonu-ekranai//131928-apple-iphone-13-ekranas-premium-incell.html
appleparts.nl,Netherlands,shop,iPhone 14 Pro Max,pulled,A,no,239,EUR,https://appleparts.nl/products/beeldscherm-iphone-14-pro-max-origineel-pulled?_pos=2&_sid=433506182&_ss=r
appleparts.nl,Netherlands,shop,iPhone 15,pulled,A,no,175,EUR,https://appleparts.nl/products/beeldscherm-voor-iphone-15-origineel-pulled?_pos=3&_sid=433506182&_ss=r
appleparts.nl,Netherlands,shop,iPhone 15 Pro,pulled,A,no,319,EUR,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-15-pro-origineel-pulled-a-grade-met-lichtsensor-flex?_pos=7&_sid=433506182&_ss=r
appleparts.nl,Netherlands,shop,iPhone 14 Plus,pulled,A,no,199,EUR,https://appleparts.nl/products/iphone-14-plus-scherm-origineel-pulled?_pos=9&_sid=433506182&_ss=r
appleparts.nl,Netherlands,shop,iPhone 16 Pro Max,aftermarket-soft-oled,aftermarket,no,99.95,EUR,https://appleparts.nl/products/premium-soft-oled-120hz-scherm-voor-iphone-16-pro-max?_pos=10&_sid=433506182&_ss=r
dutchrepair.nl,Netherlands,shop,iPhone 11 Pro,aftermarket-hard-oled,aftermarket,no,59.98,EUR,https://www.dutchrepair.nl/products/iphone-11-pro-display-hard-oled-scherm
dutchrepair.nl,Netherlands,shop,iPhone X,aftermarket-oled,aftermarket,no,46.9,EUR,https://www.dutchrepair.nl/products/iphone-x-oled-display-a-grade
componentidigitali.com,Italy,shop,iPhone XR,aftermarket-incell,aftermarket,no,11.6,EUR,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xr/display-lcd-per-iphone-xr-incell-zy-a-si-hd-.1.39.627.gp.29926.uw
digitalteck.it,Italy,shop,iPhone 11,aftermarket-hard-oled,aftermarket,no,25,EUR,https://www.digitalteck.it/iphone-11/1195-display-lcd-per-apple-iphone-11-hard-oled-nuovo-con-frame-0630808813177.html
dutchrepair.nl,Netherlands,shop,iPhone 11,unknown,aftermarket,no,30,EUR,https://www.dutchrepair.nl/products/iphone-11-orgineel-display-a-kwaliteit
dutchrepair.nl,Netherlands,shop,iPhone 11 Pro Max,aftermarket-oled,aftermarket,no,74.99,EUR,https://www.dutchrepair.nl/products/kopie-van-iphone-11-pro-max-scherm-compleet-reparatie-set-met-screenprotector
dutchrepair.nl,Netherlands,shop,iPhone 11 Pro Max,unknown,aftermarket,no,39.99,EUR,https://www.dutchrepair.nl/products/kopie-van-iphone-xs-max-scherm-compleet-reparatie-set-met-screenprotector
componentidigitali.com,Italy,shop,iPhone X,aftermarket-incell,aftermarket,no,14.15,EUR,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-x/display-lcd-per-iphone-x-incell-zy-ltps-cog-.1.39.581.gp.15293.uw
appleparts.nl,Netherlands,shop,iPhone 16,original,A,no,349,EUR,https://appleparts.nl/products/beeldscherm-scherm-voor-iphone-16-origineel-service-pack-661-44797?_pos=8&_sid=433506182&_ss=r
brotech.it,Italy,shop,iPhone 11,aftermarket-incell,aftermarket,no,13.66,EUR,https://brotech.it/2367-display-iphone-11-incell-zy.html
componentidigitali.com,Italy,shop,iPhone X,aftermarket-incell,aftermarket,no,11.05,EUR,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-x/display-lcd-per-iphone-x-incell-zy-a-si-hd-.1.39.581.gp.33018.uw
reparacaomobile.pt,Portugal,shop,iphone x,unknown,aftermarket,no,15.9,EUR,https://www.reparacaomobile.pt/pt/componentes-variados/componentes-telem%C3%B3veis/displays-e-lcds/displays-apple
componentidigitali.com,Italy,shop,iPhone XS,aftermarket-incell,aftermarket,no,11.05,EUR,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xs/display-lcd-per-iphone-xs-incell-zy-a-si-hd-.1.39.625.gp.33030.uw
abraa.com,Austria,shop,iPhone XS,aftermarket-gx,aftermarket,YES,160,USD,https://www.abraa.com/item/originalgx-oled-for-iphone-xs-lcd-display-touch-screen-digitizer-assembly-tested-no-dead-pixel-replacement-lcds-true-tone-727807
componentidigitali.com,Italy,shop,iPhone XS,aftermarket-incell,aftermarket,no,12.75,EUR,https://www.componentidigitali.com/it/componenti-digitali-home-page/ricambi-per-cellulari-tablet/ricambi-per-apple-iphone/iphone-xs/display-lcd-per-iphone-xs-incell-zy-ffhd-.1.39.625.gp.41120.uw
fonix.at,Austria,shop,iPhone 16,aftermarket-hard-oled,aftermarket,YES,39.9,EUR,https://fonix.at/products/iphone-16-display-hard-oled-ncc-premium-ersatzdisplay?variant=56804516790537
fonix.at,Austria,shop,iPhone 15 Pro,flex-replaced,B,YES,359.9,EUR,https://fonix.at/products/iphone-15-pro-display-inkl-hoererflex-service-pack?variant=55587264758025
fonix.at,Austria,shop,iPhone 15 Pro,pulled,A,YES,255.9,EUR,https://fonix.at/products/iphone-15-pro-lcd-display-original-pulled-premium?_pos=2&_sid=3e7624f42&_ss=r
