Site,Country,Basis,Evidence
24.se,Sweden,unknown,no VAT statement found on page
24hshop.dk,DK,unknown,no VAT statement found on page
24hshop.fi,Finland,unknown,no VAT statement found on page
24hshop.fr,France,incl,"""ttc"""
4repair.pl,Poland,incl,"both seen; picked incl (""brutto"")"
a-parts.com.pl,Poland,incl,"both seen; picked incl (""brutto"")"
ab-mobiteli.com,Croatia,unknown,no VAT statement found on page
abraa.com,Austria,excl,"""ht"""
akmobilestore.com,Ireland,unknown,no VAT statement found on page
al-gsm.pl,Poland,incl,"both seen; picked incl (""brutto"")"
allfixparts.com,USA,unknown,no VAT statement found on page
alphamobile.eu,Bulgaria,unknown,no VAT statement found on page
amdetech.gr,Greece,unknown,unreachable
androgeek.es,Spain,excl,"""ht"""
appleparts.nl,Netherlands,unknown,no VAT statement found on page
bokmanev.com,Denmark,unknown,no VAT statement found on page
borcaden.nl,Netherlands,excl,"""ht"""
brotech.it,Italy,unknown,no VAT statement found on page
bukuwireless.com,USA,excl,"""ht"""
canadiancellparts.com,Canada,unknown,no VAT statement found on page
capitalmovil.com.mx,Mexico,unknown,no VAT statement found on page
cdx.de,Germany,incl,"both seen; picked incl (""preise inkl"")"
cellparts.cz,Czechia,excl,"""ht"""
cellphonepartscanada.com,Bulgaria,unknown,unreachable
celo.ro,Romania,unknown,no VAT statement found on page
ch-ios.ro,Romania,excl,"""ht"""
componentesmovil.es,Spain,incl,"both seen; picked incl (""iva incl"")"
componentidigitali.com,Italy,incl,"both seen; picked incl (""iva incl"")"
compuparts.ie,Ireland,excl,"""ht"""
da-pieces.com,France,unknown,no VAT statement found on page
dacein.de,Germany,excl,"""ht"""
dargilita.lt,Lithuania,unknown,no VAT statement found on page
deltamobile.lv,Latvia,unknown,no VAT statement found on page
digitalteck.it,Italy,excl,"""ht"""
discountcell.com,USA,excl,"""ht"""
dutchrepair.nl,Netherlands,excl,"""ht"""
el-telgsm.pl,Poland,incl,"both seen; picked incl (""brutto"")"
esourceparts.ca,Canada,unknown,no VAT statement found on page
etradesupply.com,China,excl,"""ht"""
euromarserwis.pl,Poland,incl,"both seen; picked incl (""brutto"")"
expresstech.ie,Ireland,excl,"""ht"""
fhrparts.com,France,unknown,no VAT statement found on page
firsthelptech.ie,Ireland,incl,"both seen; picked incl (""incl. vat"")"
fixje.be,Belgium,excl,"""ht"""
fixje.nl,Netherlands,unknown,no VAT statement found on page
fixo.com.au,Australia,excl,"""ht"""
fixservis.sk,Slovakia,incl,"""s dph"""
fixshop.at,Austria,excl,"""ht"""
fmaparts.com.au,Australia,excl,"""ht"""
fonefunshop.co.uk,UK,unknown,no VAT statement found on page
fonefunshop.com,UK,unknown,no VAT statement found on page
fonix.at,Austria,incl,"both seen; picked incl (""inkl. mwst"")"
fonparts.pl,Poland,excl,"""netto"""
g-sp.se,Sweden,unknown,no VAT statement found on page
gadgetfix.com,USA,excl,"""ht"""
gbishop.de,Germany,excl,"""zzgl. mwst"""
geekon.gr,Greece,unknown,no VAT statement found on page
gjirafa50.al,Albania,excl,"""ht"""
gjirafa50.com,Kosovo,excl,"""ht"""
goodtech.co.nz,New Zealand,unknown,no VAT statement found on page
gsm-club.pl,Poland,incl,"both seen; picked incl (""brutto"")"
gsm.quadra-net.pl,Poland,incl,"both seen; picked incl (""brutto"")"
gsmdalys.lt,Lithuania,unknown,no VAT statement found on page
gsmok.com,Poland,excl,"""net price"""
gsmoutlet.pl,PL,incl,"""brutto"""
gsmparts.bg,Bulgaria,unknown,no VAT statement found on page
gsmteam.gr,Greece,excl,"""ht"""
hallomobile.nl,Netherlands,unknown,no VAT statement found on page
handydisplay24.de,DE,incl,"both seen; picked incl (""inkl. mwst"")"
handyschmiede.de,Germany,excl,"""ht"""
hlcwholesale.com,USA,unknown,no VAT statement found on page
horepa.fr,France,incl,"""ttc"""
hugmie.ie,Ireland,excl,"""ht"""
hurtlcd.pl,Poland,excl,"""ht"""
icell4less.com,Norway,excl,"""ht"""
ieasyservice.fi,Finland,excl,"""ht"""
ifixit.com,USA,excl,"""ht"""
ilevante.com,Spain,unknown,no VAT statement found on page
ilevante.fr,France,excl,"""netto"""
imaster.lv,Latvia,unknown,no VAT statement found on page
impextrom.com,Spain,excl,"""sin iva"""
incover.dk,DK,excl,"""ht"""
injuredgadgets.com,USA,excl,"""ht"""
ioutlet.ee,Estonia,excl,"""ht"""
ioutlet.pt,Portugal,unknown,no VAT statement found on page
iparts-4u.co.uk,UK,excl,"""ht"""
iparts-4u.eu,Ireland,excl,"""ht"""
ipfix.dk,Denmark,incl,"both seen; picked incl (""inkl. moms"")"
iphoneersatzteileshop.de,Germany,incl,"both seen; picked incl (""preise inkl"")"
iphonescreenwholesale.com,China,unknown,no VAT statement found on page
iphoneweb.es,Spain,excl,"""ht"""
irepart.com,China,excl,"""ht"""
irephone.com,NO,excl,"""ht"""
iservices.fr,France,unknown,no VAT statement found on page
iservices.pt,Portugal,unknown,no VAT statement found on page
ishine-trade.com,UK,excl,"""ex vat"""
ishine.ie,Ireland,excl,"""ex vat"""
isn-parts.com,Bulgaria,unknown,no VAT statement found on page
iswap.cz,Czechia,excl,"""ht"""
iswitch.pt,Portugal,excl,"""ht"""
italiatech.it,Italy,incl,"both seen; picked incl (""iva incl"")"
koopjeonderdelen.nl,Netherlands,incl,"both seen; picked incl (""incl. btw"")"
lapommediscount.com,France,unknown,no VAT statement found on page
lcd-phone.com,France,unknown,no VAT statement found on page
lemes.cz,Czechia,excl,"""ht"""
lifone.store,France,excl,"""netto"""
lltrader.com,China,unknown,no VAT statement found on page
m9parts.pl,Poland,excl,"""netto"""
macinfo.fr,France,excl,"""netto"""
malmoteknik.se,SE,unknown,no VAT statement found on page
marsietis.lt,Lithuania,unknown,no VAT statement found on page
mdparts.com.au,Australia,excl,"""ht"""
mecimart.se,SE,unknown,no VAT statement found on page
meintrendyhandy.de,Germany,incl,"both seen; picked incl (""inkl. mwst"")"
mengtor.ca,Canada,unknown,no VAT statement found on page
mobifixbg.com,Bulgaria,unknown,no VAT statement found on page
mobiiliabi.ee,Estonia,unknown,no VAT statement found on page
mobiilitukku.fi,Finland,unknown,no VAT statement found on page
mobilebitz.co.uk,UK,excl,"""ht"""
mobilemonsters.lv,Latvia,unknown,unreachable
mobileparts.ch,Switzerland,excl,"""ht"""
mobileparts.shop,Germany,unknown,no VAT statement found on page
mobilesentrix.co.uk,UK,excl,"""ex vat"""
mobilesentrix.eu,Germany,excl,"""ex vat"""
mobilestar.at,Austria,excl,"""ht"""
mobilesupplies.nl,Netherlands,incl,"""incl. btw"""
mobilexperten.se,SE,unknown,no VAT statement found on page
mobilnidily.cz,Czechia,excl,"""ht"""
mobilverkstedet.no,Norway,unknown,no VAT statement found on page
mobiservis.lt,Lithuania,unknown,no VAT statement found on page
mobishop.ee,Estonia,excl,"""ht"""
mobitelas.lt,Lithuania,unknown,no VAT statement found on page
mobizona.lt,Lithuania,unknown,no VAT statement found on page
mobpartstore.lv,Latvia,unknown,no VAT statement found on page
modchip.gr,Greece,unknown,no VAT statement found on page
moka-gsm.ro,Romania,excl,"""ht"""
motivs.lv,Latvia,excl,"""ht"""
movil.gr,Greece,unknown,no VAT statement found on page
moxedostore.com,Italy,incl,"""iva incl"""
mtimpex.com,Germany,excl,"""exkl. mwst"""
mytrendyphone.eu,Denmark,excl,"""ht"""
